,date,Occurrences,gender,domain
2,2020-03,39780,male,NYTimes
3,2020-04,10983,male,NYTimes
0,2020-01,24084,female,NYTimes
1,2020-02,12684,female,NYTimes
2,2020-03,4914,female,NYTimes
3,2020-04,2256,female,NYTimes
0,2020-01,85831,male,CNN
1,2020-02,59559,male,CNN
2,2020-03,50577,male,CNN
3,2020-04,14979,male,CNN
0,2020-01,25155,female,CNN
1,2020-02,15866,female,CNN
2,2020-03,9783,female,CNN
3,2020-04,3333,female,CNN
0,2020-01,126282,male,Fox News
1,2020-02,92952,male,Fox News
2,2020-03,89381,male,Fox News
3,2020-04,28933,male,Fox News
0,2020-01,43086,female,Fox News
1,2020-02,27401,female,Fox News
2,2020-03,16869,female,Fox News
3,2020-04,6722,female,Fox News
0,2020-01,49988,male,BBC
1,2020-02,31669,male,BBC
2,2020-03,22086,male,BBC
3,2020-04,6599,male,BBC
0,2020-01,12282,female,BBC
1,2020-02,7284,female,BBC
2,2020-03,4102,female,BBC
3,2020-04,1321,female,BBC
0,2020-01,73862,male,NBC News
1,2020-02,42951,male,NBC News
2,2020-03,40316,male,NBC News
3,2020-04,13238,male,NBC News
0,2020-01,22044,female,NBC News
1,2020-02,13531,female,NBC News
2,2020-03,9935,female,NBC News
3,2020-04,2805,female,NBC News
0,2020-01,51214,male,TIME
1,2020-02,33992,male,TIME
2,2020-03,43735,male,TIME
3,2020-04,10354,male,TIME
0,2020-01,13969,female,TIME
1,2020-02,8080,female,TIME
2,2020-03,6688,female,TIME
3,2020-04,1410,female,TIME
0,2020-01,32627,male,CNBC
1,2020-02,16272,male,CNBC
2,2020-03,15533,male,CNBC
3,2020-04,3190,male,CNBC
0,2020-01,4159,female,CNBC
1,2020-02,1558,female,CNBC
2,2020-03,1898,female,CNBC
3,2020-04,230,female,CNBC
